effect,term,estimate,std.error,statistic,p.value,sig
fixed,age_dev,0.794735793,0.49018766,1.621288859,0.104955703,FALSE
fixed,language_dev,-0.069800312,0.484210316,-0.14415288,0.885379748,FALSE
fixed,viewpoint_dev,-0.197929513,0.256392539,-0.771978444,0.440127195,FALSE
fixed,age_dev:language_dev,-1.661280617,0.969705453,-1.713180649,0.086679311,FALSE
fixed,age_dev:viewpoint_dev,1.570734981,0.514447703,3.053245202,0.002263809,TRUE
fixed,language_dev:viewpoint_dev,1.467452153,0.512972922,2.860681508,0.004227315,TRUE
fixed,age_dev:language_dev:viewpoint_dev,0.530032903,1.02592573,0.516638669,0.605408417,FALSE
fixed,(Intercept),-1.905104645,0.211597044,-9.003455842,2.19E-19,TRUE
fixed,age_dev,1.462352669,0.411608097,3.552779161,0.000381184,TRUE
fixed,language_dev,0.831203068,0.410992772,2.022427458,0.043132211,TRUE
fixed,viewpoint_dev,-0.32919495,0.35336666,-0.931595951,0.351545376,FALSE
fixed,age_dev:language_dev,-3.078342768,0.82493874,-3.731601655,0.000190266,TRUE
fixed,age_dev:viewpoint_dev,1.709997807,0.707396298,2.417312348,0.015635594,TRUE
fixed,language_dev:viewpoint_dev,0.283563568,0.706729229,0.401233678,0.688248087,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.896928289,1.413905619,0.634362207,0.525844468,FALSE
fixed,(Intercept),-1.868328808,0.227169637,-8.224377312,1.96E-16,TRUE
fixed,age_dev,0.998555132,0.433995377,2.300842782,0.021400519,TRUE
fixed,language_dev,0.922027484,0.435210183,2.118579759,0.034125998,TRUE
fixed,viewpoint_dev,-0.0493387,0.289317259,-0.170534933,0.864589464,FALSE
fixed,age_dev:language_dev,-1.883335157,0.867965332,-2.169827627,0.030019907,TRUE
fixed,age_dev:viewpoint_dev,2.02054731,0.580750892,3.479197943,0.000502917,TRUE
fixed,language_dev:viewpoint_dev,-0.058017971,0.578846437,-0.100230332,0.920161465,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.894244591,1.157220174,-0.772752335,0.439668967,FALSE
fixed,(Intercept),-1.721233245,0.172877854,-9.956354777,2.37E-23,TRUE
fixed,age_dev,0.885665888,0.330898126,2.676551536,0.007438413,TRUE
fixed,language_dev,0.977332346,0.33142961,2.948838355,0.003189708,TRUE
fixed,viewpoint_dev,0.003962508,0.258551747,0.015325782,0.987772274,FALSE
fixed,age_dev:language_dev,-1.133742429,0.660653662,-1.716091948,0.086145215,FALSE
fixed,age_dev:viewpoint_dev,0.935762465,0.51729018,1.808970093,0.07045565,FALSE
fixed,language_dev:viewpoint_dev,-0.098309958,0.517092331,-0.190120705,0.849214546,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.812911856,1.034015155,-0.786170156,0.431767808,FALSE
fixed,(Intercept),-1.705558841,0.230740739,-7.391667579,1.45E-13,TRUE
fixed,age_dev,0.837493284,0.447338812,1.87216772,0.061183403,FALSE
fixed,language_dev,0.366747382,0.44621183,0.821913174,0.411126314,FALSE
fixed,viewpoint_dev,0.0835806,0.253335992,0.329919961,0.741460441,FALSE
fixed,age_dev:language_dev,-2.293109592,0.900376981,-2.546832759,0.010870552,TRUE
fixed,age_dev:viewpoint_dev,0.619252479,0.506856197,1.221751816,0.221801495,FALSE
fixed,language_dev:viewpoint_dev,-0.031036161,0.50654388,-0.06127043,0.95114384,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.181702194,1.012993404,-0.179371547,0.857645971,FALSE
fixed,(Intercept),-1.879295364,0.192441041,-9.765564308,1.58E-22,TRUE
fixed,age_dev,1.132341604,0.357644642,3.16610812,0.001544934,TRUE
fixed,language_dev,0.650796763,0.357232751,1.821772391,0.068489529,FALSE
fixed,viewpoint_dev,-0.010458266,0.270277038,-0.038694614,0.969133867,FALSE
fixed,age_dev:language_dev,-1.047344125,0.714678531,-1.465475847,0.142791137,FALSE
fixed,age_dev:viewpoint_dev,0.559359329,0.540462727,1.034963748,0.300685842,FALSE
fixed,language_dev:viewpoint_dev,0.127562263,0.540553038,0.235984731,0.813444519,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.05502543,1.081217551,0.975775346,0.329175805,FALSE
fixed,(Intercept),-1.632970036,0.184824363,-8.835253135,9.99E-19,TRUE
fixed,age_dev,0.376597832,0.348710853,1.07997164,0.280154809,FALSE
fixed,language_dev,0.659772067,0.349635457,1.887028487,0.059156494,FALSE
fixed,viewpoint_dev,-0.095318615,0.227403677,-0.419160395,0.675098915,FALSE
fixed,age_dev:language_dev,-0.154351825,0.695268722,-0.222003119,0.824311455,FALSE
fixed,age_dev:viewpoint_dev,1.396820301,0.45619483,3.061894196,0.002199412,TRUE
fixed,language_dev:viewpoint_dev,-0.13305092,0.454801516,-0.292547223,0.76986826,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.112259435,0.90962747,1.222763683,0.221418966,FALSE
fixed,(Intercept),-1.895995722,0.203262131,-9.327835527,1.08E-20,TRUE
fixed,age_dev,0.77145162,0.382582565,2.016431721,0.043754851,TRUE
fixed,language_dev,0.105984195,0.381864379,0.277544072,0.78136237,FALSE
fixed,viewpoint_dev,-0.363774124,0.261550583,-1.390836603,0.164274981,FALSE
fixed,age_dev:language_dev,-1.824886705,0.764725344,-2.386329574,0.017017493,TRUE
fixed,age_dev:viewpoint_dev,0.429753747,0.522914856,0.82184268,0.411166439,FALSE
fixed,language_dev:viewpoint_dev,0.272339523,0.522850807,0.520874252,0.602454373,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.333336999,1.045695966,0.318770474,0.749900569,FALSE
fixed,(Intercept),-1.499422348,0.173883725,-8.623132178,6.51E-18,TRUE
fixed,age_dev,0.17347011,0.336912724,0.514881445,0.606635867,FALSE
fixed,language_dev,0.719149376,0.336939402,2.134358202,0.03281347,TRUE
fixed,viewpoint_dev,0.147450373,0.230757114,0.638985169,0.52283258,FALSE
fixed,age_dev:language_dev,-1.093828935,0.672967052,-1.625382597,0.104081062,FALSE
fixed,age_dev:viewpoint_dev,1.869313142,0.464956863,4.020401228,5.81E-05,TRUE
fixed,language_dev:viewpoint_dev,-0.439598124,0.46152084,-0.95249897,0.340843988,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.025923751,0.922973473,1.111541969,0.266335135,FALSE
fixed,(Intercept),-1.210588601,0.158521281,-7.636757615,2.23E-14,TRUE
fixed,age_dev,0.610264858,0.310594708,1.964826967,0.049434268,TRUE
fixed,language_dev,0.369809335,0.310243107,1.191998557,0.233261811,FALSE
fixed,viewpoint_dev,-0.215588229,0.210817497,-1.022629677,0.306482972,FALSE
fixed,age_dev:language_dev,-1.113513519,0.621223026,-1.792453711,0.073060318,FALSE
fixed,age_dev:viewpoint_dev,0.629430795,0.421728398,1.492502753,0.135567396,FALSE
fixed,language_dev:viewpoint_dev,0.096416774,0.421583606,0.228701432,0.819100982,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.058440704,0.843791362,1.25438675,0.209701466,FALSE
fixed,(Intercept),-1.699061245,0.223490485,-7.602387399,2.91E-14,TRUE
fixed,age_dev,0.544493291,0.426302881,1.277245158,0.201515709,FALSE
fixed,language_dev,0.19647591,0.425541839,0.46170762,0.644291006,FALSE
fixed,viewpoint_dev,-0.392993053,0.263557746,-1.491107958,0.135933153,FALSE
fixed,age_dev:language_dev,-2.048888071,0.85542419,-2.395172004,0.01661257,TRUE
fixed,age_dev:viewpoint_dev,2.795551932,0.532763254,5.247268672,1.54E-07,TRUE
fixed,language_dev:viewpoint_dev,0.813354972,0.527038857,1.543254281,0.122769092,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.016419485,1.052511619,0.015600288,0.987553276,FALSE
fixed,(Intercept),-1.801075733,0.230655373,-7.808514117,5.79E-15,TRUE
fixed,age_dev,0.787355943,0.438609051,1.795120142,0.07263456,FALSE
fixed,language_dev,-0.114545302,0.438169515,-0.261417781,0.793770346,FALSE
fixed,viewpoint_dev,-0.007471096,0.252789817,-0.029554577,0.976422292,FALSE
